suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),GINI index (World Bank estimate),average 2000-15
Albania,2007,male,75+ years,8,42366,18.88,Albania2007,,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,,10701011897,3863,Boomers,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,female,75+ years,3,57404,5.23,Albania2007,,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,,10701011897,3863,Generation X,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,,10701011897,3863,Millenials,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,,10701011897,3863,Millenials,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,,10701011897,3863,Generation X,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,,10701011897,3863,Boomers,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.528604746,-0.016182963,0.874699533,0.552677572,0.24633503,0.300680578,-0.045107771,-0.420024097,1.764946938,0.380848318,,0.30325,
