,suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate).1
0,Albania,2007,male,75+ years,8,42366,18.88,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
1,Albania,2007,male,35-54 years,29,378626,7.66,10701011897,3863,Boomers,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
2,Albania,2007,male,55-74 years,14,224160,6.25,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
3,Albania,2007,female,75+ years,3,57404,5.23,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
4,Albania,2007,male,25-34 years,9,172494,5.22,10701011897,3863,Generation X,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
5,Albania,2007,female,15-24 years,13,281080,4.63,10701011897,3863,Millenials,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
6,Albania,2007,male,15-24 years,13,288349,4.51,10701011897,3863,Millenials,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
7,Albania,2007,female,25-34 years,8,183629,4.36,10701011897,3863,Generation X,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
8,Albania,2007,female,55-74 years,9,221120,4.07,10701011897,3863,Silent,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
9,Albania,2007,female,35-54 years,14,391811,3.57,10701011897,3863,Boomers,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
10,Albania,2007,male,5-14 years,4,272497,1.47,10701011897,3863,Generation Z,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
11,Albania,2007,female,5-14 years,0,256808,0.0,10701011897,3863,Generation Z,Albania,2007,4.634251595,9.077324867,0.821371615,66.57662964,0.5286047460000001,-0.016182963,0.8746995329999999,0.552677572,0.24633503,0.30068057800000003,-0.045107771,-0.42002409700000004,1.764946938,0.38084831799999996,0.30325
36,Argentina,2006,male,75+ years,246,620010,39.68,2.33E+11,6475,Silent,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
37,Argentina,2006,male,15-24 years,656,3357424,19.54,2.33E+11,6475,Millenials,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
38,Argentina,2006,male,55-74 years,487,2540712,19.17,2.33E+11,6475,Silent,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
39,Argentina,2006,male,25-34 years,483,3068991,15.74,2.33E+11,6475,Generation X,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
40,Argentina,2006,male,35-54 years,585,4383730,13.34,2.33E+11,6475,Boomers,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
